REPORT DATE,YEAR,TIME,INCIDENT #,Officer,Command Review,Stop & Frisk,BEAT,Address,OFFENSE,Arrest,WEAPONS,INVSTATUS,AGE,AGE RANGE,RACE,SEX,NAME CODE,AUTHORITY,Dispatched/Self Initiated
8/24/12,2012,2039,201205164,97,NO ACTION,STOP WITH SEARCH OR FRISK,C13,1200     KING ST,Traffic Stop,"Summons Issued for marijuana, Traffic Violations",No,CBAD,33,25 - 34,B,M,OF,PC/Reasonable Suspicion,S
8/24/12,2012,2039,201205164,97,NO ACTION,STOP WITH SEARCH OR FRISK,C13,1200     KING ST,Traffic Stop,no,No,CBAD,39,35 - 44,W,M,IO,PC/Reasonable Suspicion,S
9/1/12,2012,1926,201205391,77,NO ACTION,STOP WITH SEARCH OR FRISK,C13,832      CHERRY AVE,Traffic Stop,no,No,CBAD,33,25 - 34,B,M,OF,Consent ,S
9/1/12,2012,2012,201205392,86,NO ACTION,STOP WITH SEARCH OR FRISK,C02,503      EAST MARKET STREET,Larceny,TAMPERING WITH VEHICLE,No,CBAD,39,35 - 44,W,M,OF,PC/Reasonable Suspicion,D
9/1/12,2012,1926,201205391,77,NO ACTION,STOP WITH SEARCH OR FRISK,C13,832      CHERRY AVE,Traffic Stop, written suspension notification,No,CBAD,45,45 - 54,W,F,OF,Consent ,S
9/8/12,2012,0218,201205544,85,NO ACTION,STOP WITH SEARCH OR FRISK,C16,818      CABELL AVE,Narcotic Investigation,Summons: possession of Marijuana,No,CBAD,21,18 - 24,B,M,OF,PC/Reasonable Suspicion,D
9/9/12,2012,1903,201205582,87,Corrective Action,STOP WITH SEARCH OR FRISK,C13,435      CHERRY AVE,Traffic Stop,no,No,CBAD,19,18 - 24,B,M,OF,PC/Reasonable Suspicion,S
9/9/12,2012,1903,201205582,87,Corrective Action,STOP WITH SEARCH OR FRISK,C13,435      CHERRY AVE,Traffic Stop,Summons Issued for marijuana,No,CBAD,18,18 - 24,W,F,OF,PC/Reasonable Suspicion,S
9/9/12,2012,1903,201205582,87,Corrective Action,STOP WITH SEARCH OR FRISK,C13,435      CHERRY AVE,Traffic Stop,no,No,CBAD,18,18 - 24,W,M,OF,PC/Reasonable Suspicion,S
9/12/12,2012,2005,201205661,21,NO ACTION,STOP WITH SEARCH OR FRISK,C12,600      RIDGE ST,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,38,35 - 44,B,F,OF,Consent ,S
9/15/12,2012,1813,201205732,301,NO ACTION,STOP WITH SEARCH OR FRISK,C10,1623     MERIDIAN ST,Weapons Law Violation,DIP and a Convicted Felon in Possession of a Firearm,No,CBAD,46,45 - 54,B,M,OF,Consent ,D
9/17/12,2012,1830,201205787,87,ACTION,STOP WITH SEARCH OR FRISK,C10,100      CARLTON RD,Narcotic Investigation,no,No,INAS,60,55 - 64,W,F,OF,Consent ,S
10/3/12,2012,1936,201206170,75,NO ACTION,STOP WITH SEARCH OR FRISK,C02,313      2ND ST SE,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,18,18 - 24,W,M,OF,Consent ,S
10/3/12,2012,1936,201206170,75,NO ACTION,STOP WITH SEARCH OR FRISK,C02,313      2ND ST SE,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,20,18 - 24,W,M,OF,Consent ,S
10/13/12,2012,2000,201206410,302,NO ACTION,STOP WITH SEARCH OR FRISK,C06,600      PRESTON AVE,Trespass,No,No,INAS,28,25 - 34,B,F,OF,Consent ,D
10/13/12,2012,2000,201206410,302,NO ACTION,STOP WITH SEARCH OR FRISK,C06,600      PRESTON AVE,Trespass,No,No,INAS,29,25 - 34,B,M,OF,Consent ,D
10/17/12,2012,0430,201206489,80,ACTION,STOP WITH SEARCH OR FRISK,C23,1600     MASON LN,Suspicious,No,No,INAS,22,18 - 24,W,M,OF,Consent ,S
10/19/12,2012,2055,201206554,319,NO ACTION,STOP WITH SEARCH OR FRISK,C10,500      ELLIOTT AVE,Suspicious,No,No,INAS,27,25 - 34,B,M,IO,Consent ,D
10/19/12,2012,0310,201206536,135,NO ACTION,STOP WITH SEARCH OR FRISK,C04,826      HARDY DR,Weapons Law Violation,no,No,CBAD,34,25 - 34,B,M,OF,Consent ,D
10/19/12,2012,2055,201206554,319,NO ACTION,STOP WITH SEARCH OR FRISK,C10,500      ELLIOTT AVE,Suspicious,No,No,INAS,22,18 - 24,W,F,IO,Consent ,D
10/20/12,2012,1835,201206592,41,ACTION,STOP WITH SEARCH OR FRISK,C22,1645     CHERRY AVE,Trespass,No,No,INAS,18,18 - 24,B,M,IO,Consent ,S
10/20/12,2012,0845,201206584,132,NO ACTION,STOP WITH SEARCH OR FRISK,C01,230      W MAIN ST,Disorder,NO,No,INAA,54,45 - 54,B,M,OF,PC/Reasonable Suspicion,D
10/25/12,2012,0216,201206696,85,NO ACTION,STOP WITH SEARCH OR FRISK,C16,105      EMMET ST N,VANDALISM,No,No,INAS,23,18 - 24,B,M,IO,Consent ,D
10/25/12,2012,0216,201206696,85,NO ACTION,STOP WITH SEARCH OR FRISK,C16,105      EMMET ST N,VANDALISM,No,No,INAS,23,18 - 24,W,F,IO,Consent ,D
10/25/12,2012,1556,201206709,69,NO ACTION,STOP WITH SEARCH OR FRISK,C01,504      E MAIN ST,Mo Mohr Transport,No,No,INAS,27,25 - 34,W,M,OF,PD Transport,D
10/25/12,2012,0216,201206696,85,NO ACTION,STOP WITH SEARCH OR FRISK,C16,105      EMMET ST N,VANDALISM,No,No,INAS,25,25 - 34,W,M,IO,Consent ,D
10/25/12,2012,0216,201206696,85,NO ACTION,STOP WITH SEARCH OR FRISK,C16,105      EMMET ST N,VANDALISM,No,No,INAS,38,35 - 44,W,M,OF,Consent ,D
11/3/12,2012,0045,201206917,319,NO ACTION,STOP WITH SEARCH OR FRISK,C10,300      RIDGE ST,Traffic Stop,NO,No,INAS,31,25 - 34,B,M,DR,Consent ,D
11/25/12,2012,1606,201207412,77,NO ACTION,STOP WITH SEARCH OR FRISK,C12,100      ELLIOTT AVE,Traffic Stop,no,No,INAS,20,18 - 24,B,F,OF,PC/Reasonable Suspicion,S
11/26/12,2012,1032,201207420,76,NO ACTION,STOP WITH SEARCH OR FRISK,C33,118      LONGWOOD DR,Warrant Service,No,No,INAS,42,35 - 44,B,M,OF,PC/Reasonable Suspicion,D
11/26/12,2012,1032,201207420,76,NO ACTION,STOP WITH SEARCH OR FRISK,C33,118      LONGWOOD DR,Warrant Service,No,No,INAS,47,45 - 54,B,F,IO,PC/Reasonable Suspicion,D
12/4/12,2012,2245,201207586,71,NO ACTION,STOP WITH SEARCH OR FRISK,C06,800      PRESTON AVE,Traffic Stop,no,No,INAS,18,18 - 24,B,M,SU,PC/Reasonable Suspicion,S
12/4/12,2012,2245,201207586,71,NO ACTION,STOP WITH SEARCH OR FRISK,C06,800      PRESTON AVE,Traffic Stop,no,No,INAS,20,18 - 24,B,M,SU,PC/Reasonable Suspicion,S
12/22/12,2012,2230,201207958,301,NO ACTION,STOP WITH SEARCH OR FRISK,C04,517      RIDGE ST,Narcotic Investigation,No,No,INAS,29,25 - 34,W,M,OF,Consent ,S
12/23/12,2012,2325,201207959,41,NO ACTION,STOP WITH SEARCH OR FRISK,C06,929      HENRY AVE,Suspicious,No,No,INAS,18,18 - 24,B,M,IO,Consent ,D
12/23/12,2012,2325,201207959,41,NO ACTION,STOP WITH SEARCH OR FRISK,C06,929      HENRY AVE,Suspicious,No,No,INAS,18,18 - 24,B,M,IO,Consent ,D
12/23/12,2012,2325,201207959,41,NO ACTION,STOP WITH SEARCH OR FRISK,C06,929      HENRY AVE,Suspicious,No,No,INAS,18,18 - 24,B,M,OF,Consent ,D
12/23/12,2012,2325,201207959,41,NO ACTION,STOP WITH SEARCH OR FRISK,C06,929      HENRY AVE,Suspicious,No,No,INAS,19,18 - 24,B,M,OF,Consent ,D
12/23/12,2012,2325,201207959,41,NO ACTION,STOP WITH SEARCH OR FRISK,C06,929      HENRY AVE,Suspicious,No,No,INAS,19,18 - 24,B,M,OF,Consent ,D
12/23/12,2012,2325,201207959,41,NO ACTION,STOP WITH SEARCH OR FRISK,C06,929      HENRY AVE,Suspicious,No,No,INAS,24,18 - 24,B,M,IO,Consent ,D
12/23/12,2012,2325,201207959,41,NO ACTION,STOP WITH SEARCH OR FRISK,C06,929      HENRY AVE,Suspicious,No,No,INAS,18,18 - 24,W,M,IO,Consent ,D
12/27/12,2012,2121,201208005,319,NO ACTION,STOP WITH SEARCH OR FRISK,C10,926      RIVES ST,Trespass,No,No,INAS,20,18 - 24,B,M,IO,PC/Reasonable Suspicion,S
12/27/12,2012,2121,201208005,319,NO ACTION,STOP WITH SEARCH OR FRISK,C10,926      RIVES ST,Trespass,No,No,INAS,21,18 - 24,B,M,IO,PC/Reasonable Suspicion,S
12/27/12,2012,2121,201208005,319,NO ACTION,STOP WITH SEARCH OR FRISK,C10,926      RIVES ST,Trespass,No,No,INAS,23,18 - 24,B,M,IO,PC/Reasonable Suspicion,S
12/27/12,2012,2121,201208005,319,NO ACTION,STOP WITH SEARCH OR FRISK,C10,926      RIVES ST,Trespass,No,No,INAS,18,18 - 24,B,M,IO,Consent ,S
12/30/12,2012,1609,201208041,97,NO ACTION,STOP WITH SEARCH OR FRISK,C06,600      PRESTON AVE,Mo Mohr Transport,No,No,INAS,48,45 - 54,B,M,IO,PC/Reasonable Suspicion,S
12/30/12,2012,1609,201208041,97,NO ACTION,STOP WITH SEARCH OR FRISK,C06,600      PRESTON AVE,Mo Mohr Transport,No,No,INAS,58,55 - 64,B,M,IO,PC/Reasonable Suspicion,S
1/1/13,2013,1155,201300009,62,NO ACTION,STOP WITH SEARCH OR FRISK,C14,109      CLARKE CT,Trespass,No,No,INAS,21,18 - 24,B,M,OF,Consent ,D
1/16/13,2013,1649,201300335,75,NO ACTION,STOP WITH SEARCH OR FRISK,C02,100      W MARKET ST,Trespass,Arrested: outstanding capias &  transporting or carrying a stun gun while being a convicted felon,No,CBAD,28,25 - 34,W,M,OF,PC/Reasonable Suspicion,D
2/8/13,2013,1353,201300803,13,NO ACTION,STOP WITH SEARCH OR FRISK,C12,501      CHERRY AVE,Liquor Law Violation,Summons Issued: open container ,No,CBAD,45,45 - 54,B,M,OF,PC/Reasonable Suspicion,S
2/27/13,2013,1656,201301174,93,NO ACTION,STOP WITH SEARCH OR FRISK,C01,500      E MAIN ST,Warrant Service,No,No,INAS,20,18 - 24,W,M,IO,PC/Reasonable Suspicion,S
3/2/13,2013,1750,201301237,21,NO ACTION,STOP WITH SEARCH OR FRISK,C33,100      LONGWOOD DR,Traffic Stop,no,No,INAS,19,18 - 24,B,M,IO,PC/Reasonable Suspicion,S
3/2/13,2013,1750,201301237,21,NO ACTION,STOP WITH SEARCH OR FRISK,C33,100      LONGWOOD DR,Traffic Stop,no,No,INAS,20,18 - 24,B,M,IO,PC/Reasonable Suspicion,S
3/5/13,2013,1239,201301295,90,NO ACTION,STOP WITH SEARCH OR FRISK,C02,201      E MARKET ST,Disorder,No,Knife,INAS,29,25 - 34,B,M,IO,Consent ,D
3/16/13,2013,1615,201301525,87,NO ACTION,STOP WITH SEARCH OR FRISK,C10,725      STONEHENGE AVE,Narcotic Investigation,No,No,INAS,28,25 - 34,B,M,OF,Consent ,D
5/4/13,2013,0118,201302527,77,NO ACTION,STOP WITH SEARCH OR FRISK,C16,300      14TH ST NW,Narcotic Investigation,Summons issed for Traffic Violation,No,CBAD,24,18 - 24,B,M,OF,Consent ,S
5/25/13,2013,0115,201302962,58,NO ACTION,STOP WITH SEARCH OR FRISK,C01,100      2ND ST SE,Disorder,No,No,INAS,45,45 - 54,B,M,OF,PC/Reasonable Suspicion,S
5/25/13,2013,0115,201302962,58,NO ACTION,STOP WITH SEARCH OR FRISK,C01,100      2ND ST SE,Disorder,No,No,INAS,33,25 - 34,W,M,OF,PC/Reasonable Suspicion,S
5/28/13,2013,1349,201303005,41,NO ACTION,STOP WITH SEARCH OR FRISK,C07,301      E JEFFERSON ST,Trespass,No,No,INAS,43,35 - 44,W,M,OF,Consent ,D
6/1/13,2013,2348,201303078,21,NO ACTION,STOP WITH SEARCH OR FRISK,C13,400      OAK ST,Traffic Stop,NO,No,INAS,27,25 - 34,B,F,OF,Consent ,S
6/1/13,2013,2348,201303078,21,NO ACTION,STOP WITH SEARCH OR FRISK,C13,400      OAK ST,Traffic Stop,NO,No,INAS,30,25 - 34,B,M,IO,Consent ,S
6/7/13,2013,1935,201303229,87,NO ACTION,STOP WITH SEARCH OR FRISK,C10,100      AVON ST,Narcotic Investigation,No,No,CBAD,19,18 - 24,W,M,IO,Consent ,S
6/7/13,2013,1935,201303229,87,NO ACTION,STOP WITH SEARCH OR FRISK,C10,100      AVON ST,Narcotic Investigation,No,No,CBAD,37,35 - 44,W,M,IO,Consent ,S
6/7/13,2013,1935,201303229,87,NO ACTION,STOP WITH SEARCH OR FRISK,C10,100      AVON ST,Narcotic Investigation,NO,No,CBAD,49,45 - 54,W,F,IO,Consent ,S
6/20/13,2013,1920,201303479,76,NO ACTION,STOP WITH SEARCH OR FRISK,C16,301      15TH ST NW,Suspicious,NO,No,INAS,30,25 - 34,W,M,OF,Consent ,S
6/20/13,2013,1920,201303479,76,NO ACTION,STOP WITH SEARCH OR FRISK,C16,301      15TH ST NW,Suspicious,NO,No,INAS,36,35 - 44,W,M,OF,Consent ,S
6/22/13,2013,2334,201303505,87,NO ACTION,STOP WITH SEARCH OR FRISK,C12,100      OAK ST,Narcotic Investigation,No,No,INAS,18,18 - 24,B,F,OF,Consent ,S
6/22/13,2013,2334,201303505,87,NO ACTION,STOP WITH SEARCH OR FRISK,C12,100      OAK ST,Narcotic Investigation,No,No,INAS,49,45 - 54,B,M,OF,Consent ,S
6/30/13,2013,1532,201303673,90,NO ACTION,STOP WITH SEARCH OR FRISK,C04,718      WEST ST,Trespass,No,No,INAS,57,55 - 64,B,M,IO,Consent ,D
7/6/13,2013,2300,201303793,37,NO ACTION,STOP WITH SEARCH OR FRISK,C16,102      14TH ST NW,Assault,No,No,INAA,26,25 - 34,W,M,IO,PC/Reasonable Suspicion,S
7/6/13,2013,2300,201303793,37,NO ACTION,STOP WITH SEARCH OR FRISK,C16,102      14TH ST NW,Assault,No,No,INAA,26,25 - 34,W,M,OF,PC/Reasonable Suspicion,S
7/13/13,2013,0140,201303947,58,NO ACTION,STOP WITH SEARCH OR FRISK,C01,100      1ST ST S,Suspicious,NO,No,ACTW,29,25 - 34,B,M,OF,Consent ,S
7/17/13,2013,1831,201304030,57,NO ACTION,STOP WITH SEARCH OR FRISK,C02,300      4TH ST SE,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,19,18 - 24,W,M,OF,PC/Reasonable Suspicion,S
7/19/13,2013,0250,201304061,139,NO ACTION,STOP WITH SEARCH OR FRISK,C02,801      E MARKET ST,Assist Agency,NO,No,INAN,47,45 - 54,W,M,IO,Consent ,D
7/21/13,2013,1224,201304112,90,NO ACTION,STOP WITH SEARCH OR FRISK,C08,1300     LONG ST,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,20,18 - 24,W,M,OF,Consent ,S
7/26/13,2013,1300,201304220,97,NO ACTION,STOP WITH SEARCH OR FRISK,C03,1100     WERTLAND ST,Suspicious,No,No,INAS,21,18 - 24,B,M,IO,Consent ,D
7/26/13,2013,2047,201304235,77,NO ACTION,STOP WITH SEARCH OR FRISK,C06,800      HENRY AVE,Traffic Stop,Summons Issued for marijuana,No,CBAD,19,18 - 24,B,M,OF,Consent ,D
8/2/13,2013,2213,201304368,81,NO ACTION,STOP WITH SEARCH OR FRISK,C02,200      2ND ST SW,Traffic Stop,No,No,INAS,18,18 - 24,W,M,IO,Consent ,S
8/2/13,2013,2213,201304368,81,NO ACTION,STOP WITH SEARCH OR FRISK,C02,200      2ND ST SW,Traffic Stop,No,No,INAS,57,55 - 64,W,F,OW,Consent ,S
8/4/13,2013,0130,201304399,316,NO ACTION,STOP WITH SEARCH OR FRISK,C12,932      1ST ST S,Weapons Law Violation,No,No,ACTW,18,18 - 24,B,M,OF,PC/Reasonable Suspicion,D
8/4/13,2013,0130,201304399,316,NO ACTION,STOP WITH SEARCH OR FRISK,C12,932      1ST ST S,Weapons Law Violation,No,No,ACTW,18,18 - 24,B,M,OF,PC/Reasonable Suspicion,D
8/4/13,2013,0130,201304399,316,NO ACTION,STOP WITH SEARCH OR FRISK,C12,932      1ST ST S,Weapons Law Violation,No,No,ACTW,19,18 - 24,B,M,OF,PC/Reasonable Suspicion,D
8/4/13,2013,0130,201304399,316,NO ACTION,STOP WITH SEARCH OR FRISK,C12,932      1ST ST S,Weapons Law Violation,No,No,ACTW,19,18 - 24,B,M,OF,PC/Reasonable Suspicion,D
8/4/13,2013,0130,201304399,316,NO ACTION,STOP WITH SEARCH OR FRISK,C12,932      1ST ST S,Weapons Law Violation,No,NO,ACTW,UKN,UKN,UKN,M,OF,PC/Reasonable Suspicion,D
8/10/13,2013,0127,201304546,25,NO ACTION,STOP WITH SEARCH OR FRISK,C02,200      W WATER ST,Weapons Law Violation,concealed weapon,Knife,CBAD,19,18 - 24,B,M,OF,PC/Reasonable Suspicion,D
8/10/13,2013,0127,201304546,25,NO ACTION,STOP WITH SEARCH OR FRISK,C02,200      W WATER ST,Weapons Law Violation,No,No,CBAD,24,18 - 24,B,F,IO,PC/Reasonable Suspicion,D
8/10/13,2013,0127,201304546,25,NO ACTION,STOP WITH SEARCH OR FRISK,C02,200      W WATER ST,Weapons Law Violation,No,No,CBAD,26,25 - 34,B,F,IO,PC/Reasonable Suspicion,D
8/12/13,2013,2234,201304574,77,NO ACTION,STOP WITH SEARCH OR FRISK,C04,811      E HARDY DR,Weapons Law Violation,No,No,INAS,33,25 - 34,B,F,OF,PC/Reasonable Suspicion,D
8/18/13,2013,0024,201304712,130,,STOP WITH SEARCH OR FRISK,C11,200      GARRETT ST,Disorder,no,No,INAS,23,18 - 24,B,M,IO,PC/Reasonable Suspicion,D
8/18/13,2013,0024,201304712,130,,STOP WITH SEARCH OR FRISK,C11,200      GARRETT ST,Disorder,no,No,INAS,27,25 - 34,B,M,IO,PC/Reasonable Suspicion,D
8/18/13,2013,0024,201304712,130,,STOP WITH SEARCH OR FRISK,C11,200      GARRETT ST,Disorder,no,No,INAS,33,25 - 34,B,M,IO,PC/Reasonable Suspicion,D
8/18/13,2013,0024,201304712,130,,STOP WITH SEARCH OR FRISK,C11,200      GARRETT ST,Disorder,no,No,INAS,27,25 - 34,B,M,OF,PC/Reasonable Suspicion,D
8/18/13,2013,0024,201304712,130,,STOP WITH SEARCH OR FRISK,C11,200      GARRETT ST,Disorder,no,No,INAS,35,35 - 44,B,F,IO,PC/Reasonable Suspicion,D
8/18/13,2013,0024,201304712,130,,STOP WITH SEARCH OR FRISK,C11,200      GARRETT ST,Disorder,no,No,INAS,36,35 - 44,B,M,OF,PC/Reasonable Suspicion,D
9/11/13,2013,2152,201305283,77,,STOP WITH SEARCH OR FRISK,C21,600      PROSPECT AVE,Traffic Stop,no,No,INAS,19,18 - 24,B,M,OF,All Other,S
9/11/13,2013,2152,201305283,77,,STOP WITH SEARCH OR FRISK,C21,600      PROSPECT AVE,Traffic Stop,no,No,INAS,19,18 - 24,B,M,OF,Consent ,S
9/13/13,2013,1929,201305344,69,,STOP WITH SEARCH OR FRISK,C06,100      FOREST ST,Traffic Stop,no,No,INAS,21,18 - 24,B,M,IO,PC/Reasonable Suspicion,S
9/27/13,2013,1916,201305684,77,,STOP WITH SEARCH OR FRISK,C12,1200     6TH ST SE,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,24,18 - 24,B,M,OF,Consent ,S
9/27/13,2013,1916,201305684,77,,STOP WITH SEARCH OR FRISK,C12,1200     6TH ST SE,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,25,25 - 34,B,M,OF,Consent ,S
9/27/13,2013,1916,201305684,77,,STOP WITH SEARCH OR FRISK,C12,1200     6TH ST SE,Narcotic Investigation,no,No,CBAD,25,25 - 34,B,M,OF,Consent ,S
10/1/13,2013,2041,201305781,87,,STOP WITH SEARCH OR FRISK,C11,422      GARRETT ST,Liquor Law Violation,no,No,INAS,34,25 - 34,B,M,OF,Incident to Arrest,D
10/17/13,2013,1638,201306148,87,,STOP WITH SEARCH OR FRISK,C10,1400     VINE ST,Traffic/Parking,no,Gun,INAS,50,45 - 54,W,M,OF,Consent ,S
10/24/13,2013,2213,201306302,77,,STOP WITH SEARCH OR FRISK,C18,2000     BARRACKS RD,Traffic Stop,no,No,INAS,51,45 - 54,B,M,OF,Consent ,S
11/8/13,2013,1930,201306647,87,,STOP WITH SEARCH OR FRISK,C12,500      1ST ST S,Suspicious,no,No,INAS,18,18 - 24,W,M,OF,Consent ,S
11/22/13,2013,2140,201306935,69,,STOP WITH SEARCH OR FRISK,C05,200      8TH ST NW,Traffic Stop,no,No,INAS,18,18 - 24,B,M,OF,PC/Reasonable Suspicion,S
11/30/13,2013,1957,201307046,69,,STOP WITH SEARCH OR FRISK,C13,700      PROSPECT AVE,Narcotic Investigation,Arrested on a outstanding warrant,No,CBAD,22,18 - 24,B,M,OF,Incident to Arrest,S
11/30/13,2013,1957,201307046,69,,STOP WITH SEARCH OR FRISK,C13,700      PROSPECT AVE,Narcotic Investigation,no,No,CBAD,43,35 - 44,B,M,IO,Consent ,S
12/21/13,2013,2000,201307462,87,,STOP WITH SEARCH OR FRISK,C11,414      GARRETT ST,Weapons Law Violation,no,Gun,INAS,51,45 - 54,B,M,OF,Consent ,S
12/29/13,2013,2017,201307566,35,,STOP WITH SEARCH OR FRISK,C27,2000     BARRACKS RD,Traffic Stop,no,No,INAS,21,18 - 24,B,M,OF,All Other,S
2/10/14,2014,1643,201400764,35,,STOP WITH SEARCH OR FRISK,C10,900 S 1ST ST,Traffic Stop,no,No,INAS,36,35 - 44,B,M,OF,Consent ,S
2/12/14,2014,0005,201400789,77,,STOP WITH SEARCH OR FRISK,C13,510 7 1/2 ST SW,Narcotic Investigation,no,No,CBAD,25,25 - 34,B,M,OF,PC/Reasonable Suspicion,D
2/12/14,2014,0005,201400789,77,,STOP WITH SEARCH OR FRISK,C13,510 7 1/2 ST SW,Narcotic Investigation,no,No,CBAD,27,25 - 34,B,M,OF,PC/Reasonable Suspicion,D
2/12/14,2014,0005,201400789,77,,STOP WITH SEARCH OR FRISK,C13,510 7 1/2 ST SW,Narcotic Investigation,no,No,CBAD,35,35 - 44,B,F,OF,PC/Reasonable Suspicion,D
2/20/14,2014,1630,201400935,69,,STOP WITH SEARCH OR FRISK,C13,828 CHERRY AVE,Traffic Stop,Summons Issued for Traffic Violations,No,CBAD,23,18 - 24,B,M,OF,PC/Reasonable Suspicion,S
3/8/14,2014,2241,201401236,69,,STOP WITH SEARCH OR FRISK,C06,601 PRESTON AVE,Traffic Stop,Summons Issued for Marijuana,No,CBAD,26,25 - 34,B,M,OF,PC/Reasonable Suspicion,S
3/10/14,2014,1100,201401253,97,,STOP WITH SEARCH OR FRISK,C10,700 RIDGE ST,Traffic Stop,Summons Issued for Traffic Violations,No,INAS,28,25 - 34,B,M,OF,Consent ,S
3/10/201,2014,1310,201401256,97,,STOP WITH SEARCH OR FRISK,C01,101 E MARKET ST,Disorder,no,No,INAS,43,35 - 44,B,M,IO,PC/Reasonable Suspicion,D
3/26/14,2014,2139,201401549,77,,STOP WITH SEARCH OR FRISK,C13,1000 FOREST HILLS,Traffic Stop,Warning Issued for Traffic Violation,No,INAS,22,18 - 24,B,M,OF,PC/Reasonable Suspicion,S
3/28/14,2014,1413,201401592,37,,STOP WITH SEARCH OR FRISK,C06,700 HARRIS ST,Traffic Stop,no,No,INAS,48,45 - 54,B,M,IO,PC/Reasonable Suspicion,S
